initialPropertyValue,initialMonthlyRentPrice,delta
100000,500,27176.755978085142009977431172
100000,600,34475.147815321196119355848838
100000,700,41773.539652557250228734266507
100000,800,49071.931489793304338112684176
100000,900,56370.323327029358447491101839
100000,1000,63668.715164265412556869519506
100000,1100,70967.107001501466666247937175
100000,1200,78265.498838737520775626354839
100000,1300,85563.89067597357488500477251
100000,1400,92862.28251320962899438319017
100000,1500,100160.67435044568310376160784
100000,1600,107459.06618768173721314002551
100000,1700,114757.45802491779132251844318
100000,1800,122055.84986215384543189686084
100000,1900,129354.24169938989954127527851
100000,2000,136652.63353662595365065369617
100000,2100,143951.02537386200776003211384
100000,2200,151249.41721109806186941053151
100000,2300,158547.80904833411597878894917
100000,2400,165846.20088557017008816736684
100000,2500,173144.59272280622419754578450
100000,2600,180442.98456004227830692420219
100000,2700,187741.37639727833241630261984
100000,2800,195039.76823451438652568103751
100000,2900,202338.16007175044063505945520
100000,3000,209636.55190898649474443787285
110000,500,26035.705574350059957795450660
110000,600,33334.097411586114067173868325
110000,700,40632.489248822168176552285992
110000,800,47930.881086058222285930703654
110000,900,55229.272923294276395309121326
110000,1000,62527.664760530330504687538994
110000,1100,69826.056597766384614065956663
110000,1200,77124.448435002438723444374330
110000,1300,84422.84027223849283282279200
110000,1400,91721.23210947454694220120966
110000,1500,99019.62394671060105157962733
110000,1600,106318.01578394665516095804499
110000,1700,113616.40762118270927033646266
110000,1800,120914.79945841876337971488033
110000,1900,128213.19129565481748909329800
110000,2000,135511.58313289087159847171566
110000,2100,142809.97497012692570785013333
110000,2200,150108.36680736297981722855099
110000,2300,157406.75864459903392660696866
110000,2400,164705.15048183508803598538632
110000,2500,172003.54231907114214536380399
110000,2600,179301.93415630719625474222167
110000,2700,186600.32599354325036412063931
110000,2800,193898.71783077930447349905702
110000,2900,201197.10966801535858287747466
110000,3000,208495.50150525141269225589231
120000,500,24894.655170614977905613470152
120000,600,32193.047007851032014991887815
120000,700,39491.438845087086124370305484
120000,800,46789.830682323140233748723154
120000,900,54088.222519559194343127140814
120000,1000,61386.614356795248452505558483
120000,1100,68685.006194031302561883976152
120000,1200,75983.398031267356671262393820
120000,1300,83281.78986850341078064081148
120000,1400,90580.18170573946489001922915
120000,1500,97878.57354297551899939764682
120000,1600,105176.96538021157310877606448
120000,1700,112475.35721744762721815448215
120000,1800,119773.74905468368132753289982
120000,1900,127072.14089191973543691131748
120000,2000,134370.53272915578954628973515
120000,2100,141668.92456639184365566815282
120000,2200,148967.31640362789776504657049
120000,2300,156265.70824086395187442498816
120000,2400,163564.10007810000598380340583
120000,2500,170862.49191533606009318182349
120000,2600,178160.88375257211420256024115
120000,2700,185459.27558980816831193865882
120000,2800,192757.66742704422242131707649
120000,2900,200056.05926428027653069549414
120000,3000,207354.45110151633064007391183
130000,500,23753.604766879895853431489666
130000,600,31051.996604115949962809907334
130000,700,38350.388441352004072188324997
130000,800,45648.780278588058181566742669
130000,900,52947.172115824112290945160334
130000,1000,60245.563953060166400323578000
130000,1100,67543.955790296220509701995668
130000,1200,74842.347627532274619080413338
130000,1300,82140.73946476832872845883100
130000,1400,89439.13130200438283783724868
130000,1500,96737.52313924043694721566634
130000,1600,104035.91497647649105659408401
130000,1700,111334.30681371254516597250167
130000,1800,118632.69865094859927535091935
130000,1900,125931.09048818465338472933701
130000,2000,133229.48232542070749410775468
130000,2100,140527.87416265676160348617234
130000,2200,147826.26599989281571286459000
130000,2300,155124.65783712886982224300767
130000,2400,162423.04967436492393162142534
130000,2500,169721.44151160097804099984300
130000,2600,177019.83334883703215037826068
130000,2700,184318.22518607308625975667833
130000,2800,191616.61702330914036913509601
130000,2900,198915.00886054519447851351368
130000,3000,206213.40069778124858789193135
140000,500,22612.554363144813801249509171
140000,600,29910.946200380867910627926841
140000,700,37209.338037616922020006344506
140000,800,44507.729874852976129384762172
140000,900,51806.121712089030238763179842
140000,1000,59104.513549325084348141597509
140000,1100,66402.905386561138457520015174
140000,1200,73701.297223797192566898432842
140000,1300,80999.68906103324667627685051
140000,1400,88298.08089826930078565526818
140000,1500,95596.47273550535489503368585
140000,1600,102894.86457274140900441210351
140000,1700,110193.25640997746311379052117
140000,1800,117491.64824721351722316893884
140000,1900,124790.04008444957133254735651
140000,2000,132088.43192168562544192577418
140000,2100,139386.82375892167955130419184
140000,2200,146685.21559615773366068260951
140000,2300,153983.60743339378777006102718
140000,2400,161281.99927062984187943944484
140000,2500,168580.39110786589598881786251
140000,2600,175878.78294510195009819628017
140000,2700,183177.17478233800420757469784
140000,2800,190475.56661957405831695311552
140000,2900,197773.95845681011242633153317
140000,3000,205072.35029404616653570995084
150000,500,21471.503959409731749067528658
150000,600,28769.895796645785858445946323
150000,700,36068.287633881839967824363992
150000,800,43366.679471117894077202781660
150000,900,50665.071308353948186581199325
150000,1000,57963.463145590002295959616992
150000,1100,65261.854982826056405338034658
150000,1200,72560.246820062110514716452326
150000,1300,79858.63865729816462409487000
150000,1400,87157.03049453421873347328766
150000,1500,94455.42233177027284285170533
150000,1600,101753.81416900632695223012299
150000,1700,109052.20600624238106160854066
150000,1800,116350.59784347843517098695833
150000,1900,123648.98968071448928036537599
150000,2000,130947.38151795054338974379366
150000,2100,138245.77335518659749912221133
150000,2200,145544.16519242265160850062900
150000,2300,152842.55702965870571787904666
150000,2400,160140.94886689475982725746433
150000,2500,167439.34070413081393663588200
150000,2600,174737.73254136686804601429967
150000,2700,182036.12437860292215539271734
150000,2800,189334.51621583897626477113498
150000,2900,196632.90805307503037414955264
150000,3000,203931.29989031108448352797032
160000,500,20330.453555674649696885548153
160000,600,27628.845392910703806263965825
160000,700,34927.237230146757915642383488
160000,800,42225.629067382812025020801156
160000,900,49524.020904618866134399218822
160000,1000,56822.412741854920243777636494
160000,1100,64120.804579090974353156054158
160000,1200,71419.196416327028462534471827
160000,1300,78717.588253563082571912889493
160000,1400,86015.98009079913668129130716
160000,1500,93314.37192803519079066972482
160000,1600,100612.76376527124490004814249
160000,1700,107911.15560250729900942656015
160000,1800,115209.54743974335311880497782
160000,1900,122507.93927697940722818339549
160000,2000,129806.33111421546133756181315
160000,2100,137104.72295145151544694023082
160000,2200,144403.11478868756955631864849
160000,2300,151701.50662592362366569706615
160000,2400,158999.89846315967777507548382
160000,2500,166298.29030039573188445390148
160000,2600,173596.68213763178599383231915
160000,2700,180895.07397486784010321073682
160000,2800,188193.46581210389421258915447
160000,2900,195491.85764933994832196757217
160000,3000,202790.24948657600243134598982
170000,500,19189.403151939567644703567624
170000,600,26487.794989175621754081985287
170000,700,33786.186826411675863460402957
170000,800,41084.578663647729972838820622
170000,900,48382.970500883784082217238285
170000,1000,55681.362338119838191595655952
170000,1100,62979.754175355892300974073623
170000,1200,70278.146012591946410352491293
170000,1300,77576.537849828000519730908952
170000,1400,84874.92968706405462910932662
170000,1500,92173.32152430010873848774429
170000,1600,99471.71336153616284786616196
170000,1700,106770.10519877221695724457963
170000,1800,114068.49703600827106662299729
170000,1900,121366.88887324432517600141496
170000,2000,128665.28071048037928537983263
170000,2100,135963.67254771643339475825029
170000,2200,143262.06438495248750413666796
170000,2300,150560.45622218854161351508563
170000,2400,157858.84805942459572289350330
170000,2500,165157.23989666064983227192096
170000,2600,172455.63173389670394165033863
170000,2700,179754.02357113275805102875629
170000,2800,187052.41540836881216040717396
170000,2900,194350.80724560486626978559164
170000,3000,201649.19908284092037916400929
180000,500,18048.352748204485592521587138
180000,600,25346.744585440539701900004802
180000,700,32645.136422676593811278422472
180000,800,39943.528259912647920656840142
180000,900,47241.920097148702030035257809
180000,1000,54540.311934384756139413675472
180000,1100,61838.703771620810248792093141
180000,1200,69137.095608856864358170510806
180000,1300,76435.487446092918467548928475
180000,1400,83733.87928332897257692734613
180000,1500,91032.27112056502668630576381
180000,1600,98330.66295780108079568418147
180000,1700,105629.05479503713490506259914
180000,1800,112927.44663227318901444101680
180000,1900,120225.83846950924312381943447
180000,2000,127524.23030674529723319785214
180000,2100,134822.62214398135134257626981
180000,2200,142121.01398121740545195468748
180000,2300,149419.40581845345956133310514
180000,2400,156717.79765568951367071152280
180000,2500,164016.18949292556778008994047
180000,2600,171314.58133016162188946835815
180000,2700,178612.97316739767599884677581
180000,2800,185911.36500463373010822519347
180000,2900,193209.75684186978421760361113
180000,3000,200508.14867910583832698202879
190000,500,16907.302344469403540339606602
190000,600,24205.694181705457649718024266
190000,700,31504.086018941511759096441937
190000,800,38802.477856177565868474859602
190000,900,46100.869693413619977853277267
190000,1000,53399.261530649674087231694938
190000,1100,60697.653367885728196610112601
190000,1200,67996.045205121782305988530266
190000,1300,75294.437042357836415366947936
190000,1400,82592.82887959389052474536560
190000,1500,89891.22071682994463412378327
190000,1600,97189.61255406599874350220093
190000,1700,104488.00439130205285288061860
190000,1800,111786.39622853810696225903627
190000,1900,119084.78806577416107163745394
190000,2000,126383.17990301021518101587161
190000,2100,133681.57174024626929039428927
190000,2200,140979.96357748232339977270694
190000,2300,148278.35541471837750915112460
190000,2400,155576.74725195443161852954228
190000,2500,162875.13908919048572790795994
190000,2600,170173.53092642653983728637760
190000,2700,177471.92276366259394666479527
190000,2800,184770.31460089864805604321293
190000,2900,192068.70643813470216542163061
190000,3000,199367.09827537075627480004827
200000,500,15766.251940734321488157626073
200000,600,23064.643777970375597536043748
200000,700,30363.035615206429706914461412
200000,800,37661.427452442483816292879079
200000,900,44959.819289678537925671296743
200000,1000,52258.211126914592035049714412
200000,1100,59556.602964150646144428132075
200000,1200,66854.994801386700253806549741
200000,1300,74153.386638622754363184967408
200000,1400,81451.77847585880847256338508
200000,1500,88750.17031309486258194180275
200000,1600,96048.56215033091669132022041
200000,1700,103346.95398756697080069863807
200000,1800,110645.34582480302491007705574
200000,1900,117943.73766203907901945547341
200000,2000,125242.12949927513312883389108
200000,2100,132540.52133651118723821230874
200000,2200,139838.91317374724134759072641
200000,2300,147137.30501098329545696914408
200000,2400,154435.69684821934956634756175
200000,2500,161734.08868545540367572597941
200000,2600,169032.48052269145778510439708
200000,2700,176330.87235992751189448281475
200000,2800,183629.26419716356600386123241
200000,2900,190927.65603439962011323965008
200000,3000,198226.04787163567422261806776
210000,500,14625.201536999239435975645606
210000,600,21923.593374235293545354063270
210000,700,29221.985211471347654732480943
210000,800,36520.377048707401764110898607
210000,900,43818.768885943455873489316273
210000,1000,51117.160723179509982867733938
210000,1100,58415.552560415564092246151602
210000,1200,65713.944397651618201624569277
210000,1300,73012.336234887672311002986938
210000,1400,80310.72807212372642038140461
210000,1500,87609.11990935978052975982227
210000,1600,94907.51174659583463913823994
210000,1700,102205.90358383188874851665761
210000,1800,109504.29542106794285789507528
210000,1900,116802.68725830399696727349294
210000,2000,124101.07909554005107665191061
210000,2100,131399.47093277610518603032828
210000,2200,138697.86277001215929540874594
210000,2300,145996.25460724821340478716361
210000,2400,153294.64644448426751416558127
210000,2500,160593.03828172032162354399894
210000,2600,167891.43011895637573292241661
210000,2700,175189.82195619242984230083428
210000,2800,182488.21379342848395167925193
210000,2900,189786.60563066453806105766962
210000,3000,197084.99746790059217043608727
220000,500,13484.15113326415738379366510
220000,600,20782.542970500211493172082759
220000,700,28080.934807736265602550500426
220000,800,35379.326644972319711928918092
220000,900,42677.718482208373821307335756
220000,1000,49976.110319444427930685753425
220000,1100,57274.502156680482040064171090
220000,1200,64572.893993916536149442588756
220000,1300,71871.285831152590258821006423
220000,1400,79169.677668388644368199424095
220000,1500,86468.06950562469847757784176
220000,1600,93766.46134286075258695625942
220000,1700,101064.85318009680669633467709
220000,1800,108363.24501733286080571309476
220000,1900,115661.63685456891491509151243
220000,2000,122960.02869180496902446993009
220000,2100,130258.42052904102313384834776
220000,2200,137556.81236627707724322676542
220000,2300,144855.20420351313135260518309
220000,2400,152153.59604074918546198360076
220000,2500,159451.98787798523957136201842
220000,2600,166750.37971522129368074043609
220000,2700,174048.77155245734779011885375
220000,2800,181347.16338969340189949727142
220000,2900,188645.55522692945600887568910
220000,3000,195943.94706416551011825410675
230000,500,12343.10072952907533161168460
230000,600,19641.492566765129440990102262
230000,700,26939.884404001183550368519925
230000,800,34238.276241237237659746937595
230000,900,41536.668078473291769125355257
230000,1000,48835.059915709345878503772929
230000,1100,56133.451752945399987882190594
230000,1200,63431.843590181454097260608264
230000,1300,70730.235427417508206639025928
230000,1400,78028.627264653562316017443595
230000,1500,85327.01910188961642539586126
230000,1600,92625.41093912567053477427893
230000,1700,99923.80277636172464415269660
230000,1800,107222.19461359777875353111426
230000,1900,114520.58645083383286290953193
230000,2000,121818.97828806988697228794960
230000,2100,129117.37012530594108166636726
230000,2200,136415.76196254199519104478493
230000,2300,143714.15379977804930042320259
230000,2400,151012.54563701410340980162026
230000,2500,158310.93747425015751918003794
230000,2600,165609.32931148621162855845560
230000,2700,172907.72114872226573793687327
230000,2800,180206.11298595831984731529093
230000,2900,187504.50482319437395669370861
230000,3000,194802.89666043042806607212627
240000,500,11202.05032579399327942970407
240000,600,18500.44216303004738880812172
240000,700,25798.834000266101498186539400
240000,800,33097.225837502155607564957070
240000,900,40395.617674738209716943374735
240000,1000,47694.009511974263826321792398
240000,1100,54992.401349210317935700210070
240000,1200,62290.793186446372045078627736
240000,1300,69589.185023682426154457045403
240000,1400,76887.576860918480263835463068
240000,1500,84185.96869815453437321388073
240000,1600,91484.36053539058848259229840
240000,1700,98782.75237262664259197071607
240000,1800,106081.14420986269670134913373
240000,1900,113379.53604709875081072755140
240000,2000,120677.92788433480492010596907
240000,2100,127976.31972157085902948438674
240000,2200,135274.71155880691313886280440
240000,2300,142573.10339604296724824122207
240000,2400,149871.49523327902135761963974
240000,2500,157169.88707051507546699805740
240000,2600,164468.27890775112957637647507
240000,2700,171766.67074498718368575489274
240000,2800,179065.06258222323779513331040
240000,2900,186363.45441945929190451172807
240000,3000,193661.84625669534601389014573
250000,500,10060.99992205891122724772358
250000,600,17359.39175929496533662614126
250000,700,24657.783596531019446004558917
250000,800,31956.175433767073555382976588
250000,900,39254.567271003127664761394254
250000,1000,46552.959108239181774139811926
250000,1100,53851.350945475235883518229588
250000,1200,61149.742782711289992896647259
250000,1300,68448.134619947344102275064923
250000,1400,75746.526457183398211653482586
250000,1500,83044.91829441945232103190026
250000,1600,90343.31013165550643041031792
250000,1700,97641.70196889156053978873559
250000,1800,104940.09380612761464916715325
250000,1900,112238.48564336366875854557092
250000,2000,119536.87748059972286792398859
250000,2100,126835.26931783577697730240626
250000,2200,134133.66115507183108668082392
250000,2300,141432.05299230788519605924159
250000,2400,148730.44482954393930543765926
250000,2500,156028.83666677999341481607693
250000,2600,163327.22850401604752419449459
250000,2700,170625.62034125210163357291226
250000,2800,177924.01217848815574295132993
250000,2900,185222.40401572420985232974759
250000,3000,192520.79585296026396170816526
260000,500,8919.94951832382917506574310
260000,600,16218.34135555988328444416076
260000,700,23516.73319279593739382257843
260000,800,30815.125030031991503200996102
260000,900,38113.516867268045612579413767
260000,1000,45411.908704504099721957831437
260000,1100,52710.300541740153831336249101
260000,1200,60008.692378976207940714666770
260000,1300,67307.084216212262050093084436
260000,1400,74605.476053448316159471502101
260000,1500,81903.86789068437026884991977
260000,1600,89202.25972792042437822833744
260000,1700,96500.65156515647848760675510
260000,1800,103799.04340239253259698517277
260000,1900,111097.43523962858670636359043
260000,2000,118395.82707686464081574200811
260000,2100,125694.21891410069492512042577
260000,2200,132992.61075133674903449884344
260000,2300,140291.00258857280314387726110
260000,2400,147589.39442580885725325567877
260000,2500,154887.78626304491136263409644
260000,2600,162186.17810028096547201251410
260000,2700,169484.56993751701958139093177
260000,2800,176782.96177475307369076934944
260000,2900,184081.35361198912780014776711
260000,3000,191379.74544922518190952618478
270000,500,7778.89911458874712288376254
270000,600,15077.29095182480123226218018
270000,700,22375.68278906085534164059787
270000,800,29674.07462629690945101901552
270000,900,36972.466463532963560397433196
270000,1000,44270.858300769017669775850859
270000,1100,51569.250138005071779154268526
270000,1200,58867.641975241125888532686195
270000,1300,66166.033812477179997911103864
270000,1400,73464.425649713234107289521530
270000,1500,80762.81748694928821666793920
270000,1600,88061.20932418534232604635686
270000,1700,95359.60116142139643542477453
270000,1800,102657.99299865745054480319220
270000,1900,109956.38483589350465418160986
270000,2000,117254.77667312955876356002753
270000,2100,124553.16851036561287293844520
270000,2200,131851.56034760166698231686286
270000,2300,139149.95218483772109169528053
270000,2400,146448.34402207377520107369820
270000,2500,153746.73585930982931045211586
270000,2600,161045.12769654588341983053353
270000,2700,168343.51953378193752920895120
270000,2800,175641.91137101799163858736886
270000,2900,182940.30320825404574796578653
270000,3000,190238.69504549009985734420420
280000,500,6637.84871085366507070178211
280000,600,13936.24054808971918008019980
280000,700,21234.63238532577328945861747
280000,800,28533.02422256182739883703514
280000,900,35831.416059797881508215452793
280000,1000,43129.807897033935617593870461
280000,1100,50428.199734269989726972288133
280000,1200,57726.591571506043836350705796
280000,1300,65024.983408742097945729123460
280000,1400,72323.375245978152055107541127
280000,1500,79621.76708321420616448595880
280000,1600,86920.15892045026027386437646
280000,1700,94218.55075768631438324279413
280000,1800,101516.94259492236849262121180
280000,1900,108815.33443215842260199962946
280000,2000,116113.72626939447671137804713
280000,2100,123412.11810663053082075646480
280000,2200,130710.50994386658493013488246
280000,2300,138008.90178110263903951330013
280000,2400,145307.29361833869314889171780
280000,2500,152605.68545557474725827013546
280000,2600,159904.07729281080136764855313
280000,2700,167202.46913004685547702697079
280000,2800,174500.86096728290958640538846
280000,2900,181799.25280451896369578380613
280000,3000,189097.64464175501780516222380
290000,500,5496.79830711858301851980160
290000,600,12795.19014435463712789821925
290000,700,20093.58198159069123727663695
290000,800,27391.97381882674534665505460
290000,900,34690.36565606279945603347227
290000,1000,41988.757493298853565411889934
290000,1100,49287.149330534907674790307595
290000,1200,56585.541167770961784168725271
290000,1300,63883.933005007015893547142937
290000,1400,71182.324842243070002925560605
290000,1500,78480.716679479124112303978270
290000,1600,85779.10851671517822168239594
290000,1700,93077.50035395123233106081361
290000,1800,100375.89219118728644043923127
290000,1900,107674.28402842334054981764894
290000,2000,114972.67586565939465919606660
290000,2100,122271.06770289544876857448427
290000,2200,129569.45954013150287795290194
290000,2300,136867.85137736755698733131961
290000,2400,144166.24321460361109670973727
290000,2500,151464.63505183966520608815494
290000,2600,158763.02688907571931546657260
290000,2700,166061.41872631177342484499027
290000,2800,173359.81056354782753422340794
290000,2900,180658.20240078388164360182561
290000,3000,187956.59423801993575298024327
300000,500,4355.74790338350096633782107
300000,600,11654.13974061955507571623871
300000,700,18952.53157785560918509465640
300000,800,26250.92341509166329447307405
300000,900,33549.31525232771740385149173
300000,1000,40847.707089563771513229909390
300000,1100,48146.098926799825622608327059
300000,1200,55444.490764035879731986744723
300000,1300,62742.882601271933841365162390
300000,1400,70041.274438507987950743580061
